Abstract,Article Classification
"Globally, the incidence of herpes zoster (HZ) is increasing, and the resulting zoster-associated pain (ZAP) severely affects the quality of life of patients. Therefore, active treatment of ZAP and prevention of postherpetic neuralgia (PHN) are very important for patients in the early stage of the disease. This retrospective observational study aimed to evaluate the effect of CT-guided pulsed radiofrequency (PRF) combined with ozone injection on zoster-associated pain.",1
"This work presents the history of the recognition of principal regulatory capacities of estrogen hormones having been mistakenly regarded as breast cancer promoting agents for more than 120 years. Comprehensive analysis of the results of clinical, epidemiological, immunological and molecular studies justified that endogenous estrogens are the principal regulators of embryonic development, survival and reproduction <i>via</i> orchestrating appropriate expression and even edition of all genes in mammalians. Medical use of chemically modified synthetic estrogens caused toxic complications; thromboembolic events and increased cancer risk in female organs as they proved to be endocrine disruptors deregulating estrogen receptors (ERs) rather than their activators. Synthetic estrogen treatment exhibits ambiguous correlations with cancer risk at different sites, which may be attributed to an inhibition of the unliganded activation of estrogen receptors (ERs) coupled with compensatory liganded activation. The principle of estrogen induced breast cancer led to the introduction of antiestrogen therapies against this tumor; inhibition of the liganded activation of estrogen receptors and aromatase enzyme activity. The initial enthusiasm turned into disappointment as the majority of breast cancers proved to be primarily resistant to antiestrogens. In addition, nearly all patients showing earlier good tumor responses to endocrine therapy, later experienced secondary resistance leading to metastatic disease and fatal outcome. Studying the molecular events in tumors responsive and unresponsive to antiestrogen therapy, it was illuminated that a complete inhibition of liganded ER activation stimulates the growth of cancers, while a successful compensatory upregulation of estrogen signal may achieve DNA restoration, tumor regression and patient's survival. Recognition of the principal role of endogenous estrogens in gene expression, gene edition and DNA repair, estrogen treatment and stimulation of ER expression in patients may bring about a great turn in medical practice.",1
"Use of the synthetic opioid fentanyl increased ~300% in the last decade, including among women of reproductive ages. Adverse neonatal outcomes and long-term behavioral disruptions are associated with perinatal opioid exposure. Our previous work demonstrated that perinatal fentanyl exposed mice displayed enhanced negative affect and somatosensory circuit and behavioral disruptions during adolescence. However, little is known about molecular adaptations across brain regions that underlie these outcomes. We performed RNA sequencing across three reward and two sensory brain areas to study transcriptional programs in perinatal fentanyl exposed juvenile mice. Pregnant dams received 10 μg/ml fentanyl in the drinking water from embryonic day 0 (E0) through gestational periods until weaning at postnatal day 21 (P21). RNA was extracted from nucleus accumbens (NAc), prelimbic cortex (PrL), ventral tegmental area (VTA), somatosensory cortex (S1) and ventrobasal thalamus (VBT) from perinatal fentanyl exposed mice of both sexes at P35. RNA sequencing was performed, followed by analysis of differentially expressed genes (DEGs) and gene co-expression networks. Transcriptome analysis revealed DEGs and gene modules significantly associated with exposure to perinatal fentanyl in a sex-wise manner. The VTA had the most DEGs, while robust gene enrichment occurred in NAc. Genes enriched in mitochondrial respiration were pronounced in NAc and VTA of perinatal fentanyl exposed males, extracellular matrix (ECM) and neuronal migration enrichment were pronounced in NAc and VTA of perinatal fentanyl exposed males, while genes associated with vesicular cycling and synaptic signaling were markedly altered in NAc of perinatal fentanyl exposed female mice. In sensory areas from perinatal fentanyl exposed females, we found alterations in mitochondrial respiration, synaptic and ciliary organization processes. Our findings demonstrate distinct transcriptomes across reward and sensory brain regions, with some showing discordance between sexes. These transcriptome adaptations may underlie structural, functional, and behavioral changes observed in perinatal fentanyl exposed mice.",1
"Donkey milk (DM) is a source of bioactive compounds that can benefit neural functioning. In the present study, we investigated the effects of DM consumption on anxiolytic-related, despair-like, locomotion and coordination behaviors, as well as the provision of protection from oxidative damage to lipids and proteins in brain tissues and melatonin plasma levels. To achieve this, male mice orally received DM (4 g.kg<sup>-1</sup>) or vehicle for 18 days. Their behavior was assessed in the following tests: elevated plus maze (EPM), open field and rotarod tests (OF, RR) and forced swimming test (FST). Acute treatments with diazepam (DZP, 1.5 mg.kg<sup>-1</sup>, v.o.), fluoxetine (FLX, 20 mg.kg<sup>-1</sup>, i.p.) and nortriptyline (NTP, 20 mg.kg<sup>-1</sup>, i.p.) were used as positive controls. On the eighteenth day, the animals were euthanized and brain tissue and blood were collected to measure oxidative damage, and melatonin plasma levels. Similar to DZP, repeated DM consumption reduced exploration to open areas in the EPM test. Under our experimental conditions, conventional antidepressants reduced immobility time in the FST, and the benzodiazepine treatment impaired motor coordination in mice. No significant differences in locomotion, motor coordination and despair-related behaviors were observed in the mice treated with DM when assessed in the EPM, OF, RR and FST, respectively. Biochemical assays showed that repeated DM exposition protected against oxidative damage to lipids and increased plasma levels of melatonin. These findings suggest consumption of DM may be a promising food for the treatment of anxiety-related disorders, without depressant effects on the central nervous system.",1
"Levetiracetam is a commonly used anti-seizure medication, with the development of neuropsychiatric symptoms being the most common side effect. Preliminary literature describes the improvement of these symptoms with pyridoxine, mostly within the pediatric population. However, randomized control trial data investigating this relationship is sparse.",1
"The generation of induced pluripotent stem cells has opened the field of study for stem cell research, disease modeling and drug development. However, the epigenetic signatures present in somatic cells make cell reprogramming still an inefficient process. This epigenetic memory constitutes an obstacle in cellular reprogramming. Here, we report the effect of hydralazine (HYD) and valproic acid (VPA), two small molecules with proven epigenetic activity, on the expression of pluripotency genes in adult (aHF) and neonatal (nbHF) human fibroblasts.",0
"Date palm fruit (<i>Phoenix dactylifera</i>: Arecaceae) is rich in essential nutrients and possesses several pharmacological and medicinal activities. The current study aimed to optimize a water bath-assisted extraction method for two cultivars of date palm fruits, Anbara (An) and Reziz (Rz), and investigated the protective effect of the optimized date palm fruit extract against CCl<sub>4</sub>-induced liver toxicity in relation to oxidative stress, inflammation, apoptosis, and DNA integrity. The optimization process of two date palm fruit cultivars was applied, using response surface methodology through adjusting three ""factors""; time, temperature, and rotation, to allow maximum contents of total phenolic (TPC), total flavonoid (TFC), reducing power (FRAP) and scavenging activity (ABTS) of the extract ""responses"". Extraction factors' application significantly enhanced TPC, TFC, FRAP, and ABTS responses by 1.30, 1.23, 3.03, and 2.06-fold, respectively in An and 2.18, 1.71, 1.11, and 2.62-fold, respectively in Rz, in relation to the convectional water extraction. Furthermore, co-administered CCl<sub>4</sub> with An or Rz optimized extracts enhanced body weight gain, amended hepatic architecture, and diminished collagen fiber accumulation. Furthermore, An or Rz extracts reduced liver enzymes, hydroxyproline, alpha-fetoprotein (AFP), MDA, inflammatory cytokine (TNF-α, NF-κB) levels, and DNA fragmentation, while increasing deteriorated adiponectin (ADP) and antioxidant enzyme (GSH, GPX, NO, and IFN-γ) levels, relative to CCl<sub>4</sub>-administered animals. The protective effects of An or Rz-optimized extracts were also evidenced by suppressing hepatic fibrosis and improving liver function and structure via modulating oxidative stress, inflammation, and apoptosis, in CCl<sub>4</sub>-induced hepatic damage. Hence, the optimized extraction process for the two date palm fruits resulted in extracts which are rich in phenolic and flavonoid contents and with an elevated antioxidant power. The presence of these rich extracts could help to explain their proven hepatoprotective activity against CCl<sub>4</sub>-induced liver toxicity.",0
Gynecomastia is a common condition in clinical practice. The present study aimed to review the clinical data of ER-positive gynecomastia patients treated by tamoxifen (TAM) versus surgery and discussed the clinical effects of the two treatment strategies.,0
"Cyclooxygenase-2 (COX-2) is the key enzyme responsible for the conversion of arachidonic acid to prostaglandins that display pro-inflammatory properties and thus, it is a potential target protein to develop anti-inflammatory drugs. In this study, chemical and bio-informatics approaches have been employed to find a novel potent andrographolide (AGP) analog as a COX-2 inhibitor having better pharmacological properties than aspirin and rofecoxib (controls). The full amino acid sequenced human Alpha fold (AF) COX-2 protein (604AA) was selected and validated for its accuracy against the reported COX-2 protein structures (PDB ID: 5F19, 5KIR, 5F1A, 5IKQ and 1V0X) followed by multiple sequence alignment analysis to establish the sequence conservation. The systematic virtual screening of 237 AGP analogs against AF-COX-2 protein yielded 22 lead compounds based on the binding energy score (< - 8.0 kcal/mol). These were further screened out to 7 analogs by molecular docking analysis and investigated further for ADMET prediction, ligand efficiency metrics calculations, quantum mechanical analysis, MD simulation, electrostatic potential energy (EPE) docking simulation, and MM/GBSA. In-depth analysis revealed that AGP analog A3 (3-[2-[(1R,4aR,5R,6R,8aR)-6-hydroxy-5,6,8a-trimethyl-2-methylidene-3,4,4a,5,7,8-hexahydro-1H-naphthalen-1-yl]ethylidene]-4-hydroxyoxolan-2-one) forms the most stable complex with the AF-COX-2 showing the least RMSD value (0.37 ± 0.03 nm), a good number of hydrogen bonds (protein-ligand H-bond = 11, and protein H-bond = 525), minimum EPE score (- 53.81 kcal/mol), and lowest MM-GBSA before and after simulation (- 55.37 and - 56.25 kcal/mol, respectively) value compared to other analogs and controls. Thus, we suggest that the identified A3 AGP analog could be developed as a promising plant-based anti-inflammatory drug by inhibiting COX-2.",0
"Bioactive compounds in wheat have received a great interest in the last few years due to their nutritional and health benefits. Various analytical procedures were used to identify these compounds in wheat kernels. An ultra-performance liquid chromatography coupled to electrospray ionization quadrupole-time-of-flight mass spectrometry (UPLC-ESI-QTOF-MS/MS) was used for the screening of bioactive compounds in seven Tunisian durum wheat extracts. The aim of this study was to realize a screening of several classes of bioactive compounds in the same analysis and to identify specific metabolite markers for discriminating the durum wheat varieties. The UPLC-ESI-QTOF-MS/MS allows the detection of 81 metabolites, belonging to different chemical families such as sugars, organic acids, amino acids, fatty acids, and phenolic compounds represented by benzoic and cinnamic acid derivatives, phenolic alcohols, flavones, lignans, and condensed tannins. Chemical profiles identified varied greatly between different wheat genotypes. As far as the authors know, this is the first time that different chemical classes were detected at the same time in durum wheat kernels using UPLC-ESI-QTOF-MS/MS. This study gives the most complete map of metabolites in Tunisian durum wheat and proves that UPLC-QTOF-MS/MS coupled with chemometric analysis is a great tool for discrimination between durum wheat cultivars.",0
"Prone positioning and neuromuscular blocking agents (NMBAs) are frequently used to treat severe respiratory failure from COVID-19 pneumonia. Prone positioning has shown to improve mortality, whereas NMBAs are used to prevent ventilator asynchrony and reduce patient self-inflicted lung injury. However, despite the use of lung-protective strategies, high death rates in this patient population have been reported.",0
"Toxic Epidermal Necrolysis (TEN) is a rare, acute, and life-threatening mucocutaneous disease that occurs after the administration of certain drugs, resulting in extensive keratinocyte cell death, skin involvement at the dermal-epidermal junction, and extensive bullous skin eruptions and sloughing. Many published case reports have observed the presence of fever with a viral infection, drug, and/or genetic association as a possible trigger for TEN but associated with other comorbidities. Physicians still struggle to predict which individuals could be predisposed to TEN. The case report that we present had a history of multiple drug intake and fever due to dengue virus infection but was not associated with any other comorbidity.",1
"Anticoagulation could not be currently stopped even after successful thoracoscopic ablation of atrial fibrillation for at least 2 months. The aim of this study is to compare the safety and efficacy outcomes between a new oral anticoagulant and warfarin after thoracoscopic ablation. This trial was a single-center, prospective, randomized controlled study comparing edoxaban and warfarin in patients undergoing thoracoscopic ablation of atrial fibrillation. This study enrolled 60 patients randomly assigned into 2 groups. The primary endpoint was efficacy outcomes, including stroke and systemic thromboembolic events. The secondary endpoint was safety outcomes including major bleeding and pericarditis. The patients were evaluated at discharge, 2 weeks, 3 months, and 6 months postoperatively. No stroke and thromboembolic events were noted in both treatment groups during the follow-up period. During the 6 months follow-up period, 4 (13%) of 30 patients in the edoxaban group experienced minor bleeding events, whereas none were noted in the warfarin group. Five anticoagulation-related events (bleeding, and prolongation of international normalized ratio), including pericarditis, were noted in both the edoxaban and warfarin groups. No statistically significant difference existed between the 2 groups. In conclusion, this study showed the comparable results of edoxaban to warfarin during the window period of post-thoracoscopic ablation of atrial fibrillation. Moreover, anticoagulation-related events were rather affected by patient factors and not by the anticoagulant type.",1
"During the pandemic, some mortality-related factors were age, sex, comorbidities (obesity, diabetes mellitus, and hypertension), recovery time, hospitalizations, and biochemical markers. The present work aimed to identify the mortality and survival factors in adults with moderate and severe pneumonia due to COVID-19 during the first and second waves of the pandemic in Mexico at a third-level hospital (High-Specialty Regional Hospital of Ixtapaluca (HRAEI), Ixtapaluca, Estado de Mexico, Mexico). A database was generated using information from the electronic clinical records of patients hospitalized from December 2021 to August 2022. Survival analysis was performed associating age, sex, longer recovery times, and some drugs. The risk factors found were age in the patients between 40 and 60 years (OR = 1.70), male sex (OR = 1.53), the presence of comorbidities (OR = 1.66) and hypertension (OR = 2.19), work occupation (construction workers OR = 5.22, factory workers OR = 3.13, unemployed OR = 2.93), the prehospital use of metamizole sodium (OR = 2.17), cough (OR = 1.73), and in-hospital oxygen therapy (reservoir mask OR = 6.6). The survival factors found in this study were working in the healthcare field (OR = 0.26), the prehospital use of certain medications (paracetamol OR = 0.65, dexamethasone OR = 0.55, and azithromycin OR = 0.47), presenting ageusia (OR = 0.5) and hyporexia (OR = 0.34), and the time using in-hospital oxygen therapy (device 1 OR = 0.72). Prehospital treatment needs to be reevaluated as dexamethasone and azithromycin proved to be protective factors. Likewise, providing aggressive oxygen therapy during hospital admission decreased mortality risk.",1
"Ageing beer in contact with wood is a common technological procedure that has been used for centuries to improve colour, structure, and certain flavours. Herein, the impact of the addition of French and American oak wood to two beer styles, pale and dark, on beer phenolic composition (total phenolics, total flavonoids, and HPLC-DAD) and bioactivity (FRAP, DPPH, anti-inflammatory activity in RAW 264.7, and antiproliferative in Caco-2 cells) was assessed. Thirteen phenolics were quantified with values according to previous reports. Dark malt resulted in higher values of total phenolics, to which m-hydroxybenzoic, syringic, p-coumaric acids, and xanthohumol contributed considerably; the exception was (+)-catechin and salicylic acid, which were found to be higher in pale beers. American oak significantly increased 3,4-dihydroxyphenylacetic, vanillic, and syringic acids up to roughly 3, 2, and 10 times, respectively, when compared with French wood. FRAP and DPPH values varied between pale and dark beers, with a less pronounced effect after wood addition. All samples presented considerable cellular antioxidant and anti-inflammatory as well as antiproliferative activity, but differences were found only for the antiproliferative activity, which was higher for the dark beers, which reached about 70% inhibition. Overall, the influence of malts was more pronounced than that of wood, in the studied conditions, highlighting the overwhelming impact of malts on the bioactivity of beer.",0
"<b><i>Background:</i></b> Second-generation antipsychotics (SGAs), also called atypical antipsychotics, are common therapies for women with a spectrum of psychiatric disorders. No systematically ascertained human reproductive safety data are available for lurasidone, and prospective data for quetiapine are limited, making decisions regarding use of these medications during pregnancy complicated. <b><i>Materials and Methods:</i></b> The National Pregnancy Registry for Psychiatric Medications is a prospective cohort study designed to collect reproductive safety data relative to SGAs. Pregnant women aged 18-45 years, with psychiatric illness and prenatal psychotropic medication exposure completed three phone interviews during pregnancy and the postpartum period. Cases of presumed malformations are abstracted from medical records for adjudication by a teratologist blinded to medication exposure. <b><i>Results:</i></b> Of 2,293 women enrolled at the time of analysis, 134 in the lurasidone group, 264 in the quetiapine group, and 886 controls completed the postpartum interview and were therefore eligible for inclusion. Dropped or lost-to-follow-up participants (13%) and those currently pregnant were excluded. Participants were predominantly White, college-educated, and married (lurasidone = 88.1%, 76.9%, 77.6%; quetiapine = 89.8%, 71.2%, 75.0%; controls = 92.7%, 86.7%, 89.1%). Absolute risks of major malformations were 2.19% (lurasidone), 1.85% (quetiapine), and 1.77% (controls). Odds ratios comparing lurasidone and quetiapine with controls were 1.24 (95% confidence interval [CI] = 0.36-4.32) and 1.04 (95% CI = 0.38-2.85), respectively. <b><i>Conclusions:</i></b> No specific patterns of malformations were observed in infants exposed to the medications of interest. Lurasidone and quetiapine did not appear to be major teratogens, but further information is needed to refine risk estimates. Food and Drug Administration guidance underscores the importance of pregnancy registries. Clinical trial number: NCT01246765.",1
"Extensive antibiotic use increases the environmental presence of their residues and may accelerate the development of antibiotic resistance, although this remains poorly understood at environmentally relevant concentrations. Herein, susceptible <i>Escherichia coli</i> K12 was continuously exposed to five antibiotics at such concentrations for 100 days. The <i>de novo</i>-evolved mutants rapidly obtained fluoroquinolone resistance within 10 days, as indicated by the 4- and 16-fold augmentation of minimum inhibitory concentrations against enrofloxacin and ciprofloxacin, respectively. Moreover, the mutants maintained heritable fluoroquinolone resistance after the withdrawal of antibiotics for 30 days. Genomic analysis identified Asp87Gly or Ser83Leu substitutions in the <i>gyr</i>A gene in the mutants. Transcriptomics data showed that the transcriptional response of the mutants to fluoroquinolones was primarily involved in biofilm formation, cellular motility, porin, oxidative stress defense, and energy metabolism. Homologous recombination and molecular docking revealed that mutations of <i>gyr</i>A primarily mainly conferred fluoroquinolone resistance, while mutations at different positions of <i>gyr</i>A likely endowed different fluoroquinolone resistance levels. Collectively, this study revealed that environmentally relevant concentrations of antibiotics could rapidly induce heritable antibiotic resistance; therefore, the discharge of antibiotics into the environment should be rigorously controlled to prevent the development of antibiotic resistance.",0
"Obesity is a complex metabolic condition that can have a negative impact on one's health and even result in mortality. The management of obesity has been addressed in a number of ways, including lifestyle changes, medication using appetite suppressants and thermogenics, and bariatric surgery for individuals who are severely obese. Liraglutide and semaglutide are two of the five Food and Drug Administration (FDA)-approved anti-obesity drugs that are FDA-approved agents for the treatment of type 2 diabetes mellitus (T2DM) patients. In order to highlight the positive effects of these drugs as anti-obesity treatments, we analyzed the weight loss effects of T2DM agents that have demonstrated weight loss effects in this study by evaluating clinical studies that were published for each agent. Many clinical studies have revealed that some antihyperglycemic medications can help people lose weight, while others either cause weight gain or neutral results. Acarbose has mild weight loss effects and metformin and sodium-dependent glucose cotransporter proteins-2 (SGLT-2) inhibitors have modest weight loss effects; however, some glucagon-like peptide-1 (GLP-1) receptor agonists had the greatest impact on weight loss. Dipeptidyl peptidase 4 (DPP-4) inhibitors showed a neutral or mild weight loss effect. To sum up, some of the GLP-1 agonist drugs show promise as weight-loss treatments.",1
"Ischemic colitis is the most common type of intestinal ischemia and is caused by an acute arterial occlusion, thrombosis, or hypoperfusion of the mesenteric vasculature. This case centers around a 39-year-old female with a past medical history significant for a 20-year history of stimulant laxative abuse, chronic constipation, bipolar disorder, and anxiety that presented with ischemic colitis following 21 days of obstipation. At the time of presentation, the patient was taking olanzapine 15 mg daily for the treatment of bipolar disorder and clonidine 0.2 mg three times daily for anxiety. Over the course of her hospitalization, the patient was found to have a high stool burden, including calcified stool, contributing to ischemic colitis. She was successfully treated with a clonidine taper, multiple enemas, and laxatives. Pharmacological agents that induce constipation have been shown to increase the risk of colonic ischemia by increasing intraluminal pressure in the colon. Atypical antipsychotics block peripheral anticholinergic and anti-serotonergic receptors, limit gastrointestinal muscle contractions, and delay intestinal transit.",1
We investigated the safety and efficacy of peroneal electrical transcutaneous neuromodulation using the URIS neuromodulation system in a home-based setting in comparison with standard treatment using solifenacin in treatment-naïve female patients with overactive bladder.,1
"Warfarin is well recognized for its high-affinity and capacity-limited binding to the pharmacological target and undergoes target-mediated drug disposition. Here, we developed a physiologically based pharmacokinetic (PBPK) model that incorporated saturable target binding and other reported hepatic disposition components of warfarin. The PBPK model parameters were optimized by fitting to the reported blood pharmacokinetic (PK) profiles of warfarin with no stereoisomeric separation after oral dosing of racemic warfarin (0.1, 2, 5, or 10 mg) using the Cluster Gauss-Newton method (CGNM). The CGNM-based analysis yielded multiple ""accepted"" sets for six optimized parameters, which were then used to simulate the warfarin blood PK and in vivo target occupancy (TO) profiles. When further analyses examined the impact of dose selection on uncertainty in parameter estimation by the PBPK modeling, the PK data from 0.1 mg dose (well below target saturation) was important in practically identifying the target binding-related parameters in vivo. When stereoselective differences were incorporated for both hepatic disposition and target interactions, our PBPK modeling predicted that R-warfarin (of slower clearance and lower target affinity than S-warfarin) contributes to TO prolongation after oral dosing of racemic warfarin. Our results extend the validity of the approach by which the PBPK-TO modeling of blood PK profiles can yield TO prediction in vivo (applicable to the drugs with targets of high affinity and abundance and limited distribution volume via nontarget interactions). Our findings support that model-informed dose selection and PBPK-TO modeling may aid in TO and efficacy assessment in preclinical and clinical phase 1 studies. SIGNIFICANCE STATEMENT: The current physiologically based pharmacokinetic modeling incorporated the reported hepatic disposition components and target binding of warfarin and analyzed the blood pharmacokinetic (PK) profiles from varying warfarin doses, practically identifying target binding-related parameters in vivo. By implementing the stereoselective differences between R- and S-warfarin, our analysis predicted the role of R-warfarin in prolonging overall target occupancy. Our results extend the validity of analyzing blood PK profiles to predict target occupancy in vivo, which may guide efficacy assessment.",0
"The use of hydrochlorothiazide has recently been linked to skin cancer in observational studies. This may be explained by its photosensitizing properties, but photosensitivity has also been reported for other antihypertensive drugs. We conducted a systematic review and meta-analysis to compare skin cancer risk among antihypertensive drug classes and individual blood pressure lowering drugs.",1
"Atogepant, an oral calcitonin gene-related peptide receptor antagonist, and topiramate, a commonly used oral antiepileptic, are approved as preventive migraine treatments. Given the distinct mechanisms of action of these treatments, it is possible that they may be coprescribed for migraine. This open-label, single-center, 2-cohort, phase 1 trial evaluated the potential pharmacokinetic (PK) 2-way drug-drug interactions (DDIs), safety, and tolerability of atogepant and topiramate in healthy adults. Participants received atogepant 60 mg once daily and topiramate 100 mg twice daily. Cohort 1 (N = 28) evaluated the effect of topiramate on the PK of atogepant; cohort 2 (N = 25) evaluated the effect of atogepant on the PK of topiramate. Potential DDIs were assessed using geometric mean ratios and 90% confidence intervals calculated for maximum plasma drug concentration at steady state (C<sub>max,ss</sub> ) and area under the plasma concentration-time curve during the dosing interval at steady state (AUC<sub>0-tau,ss</sub> ). Additional PK parameters were assessed. Atogepant AUC<sub>0-tau,ss</sub> and C<sub>max,ss</sub> decreased by 25% and 24%, respectively, with topiramate coadministration. Topiramate AUC<sub>0-tau,ss</sub> and C<sub>max,ss</sub> decreased by 5% and 6%, respectively, with atogepant coadministration. The 25% reduction in atogepant exposure when coadministered with topiramate is not considered to be clinically relevant and would not require dose adjustments.",1
"Pterospermum rubiginosum is an evergreen plant in Western Ghats, India, used by traditional tribal healers due to its excellent biological potential for treating inflammation and pain relief procedures. The bark extract is also consumed to relieve the inflammatory changes at the bone fractured site. The traditional medicinal plant in India have to be characterized for its diverse phytochemical moieties, its interactive multiple target sites, and to reveal the hidden molecular mechanism behind the biological potency.",0
"Data are lacking regarding post-endoscopic submucosal dissection (ESD) bleeding in patients with early gastric cancer (EGC) who take antiplatelet agents (APAs), particularly in those taking thienopyridine and cilostazol. We aimed to clarify the association between the status of APA medication and post-ESD bleeding risk.",1
"HP501 is a highly selective renal urate transporter 1 (URAT1) inhibitor that is being developed for the treatment of hyperuricemia and gout. The primary aim of the present study was to study the pharmacokinetic drug‒drug interactions (DDIs) of HP501, febuxostat, and colchicine in hyperuricemic patients.",1
"Interleukin-1β (IL-1β) is a key protein in inflammation and contributes to tumor progression. However, the role of IL-1β in cancer is ambiguous or even contradictory. Here, we found that upon IL-1β stimulation, nicotinamide nucleotide transhydrogenase (NNT) in cancer cells is acetylated at lysine (K) 1042 (NNT K1042ac) and thereby induces the mitochondrial translocation of p300/CBP-associated factor (PCAF). This acetylation enhances NNT activity by increasing the binding affinity of NNT for NADP<sup>+</sup> and therefore boosts NADPH production, which subsequently sustains sufficient iron-sulfur cluster maintenance and protects tumor cells from ferroptosis. Abrogating NNT K1042ac dramatically attenuates IL-1β-promoted tumor immune evasion and synergizes with PD-1 blockade. In addition, NNT K1042ac is associated with IL-1β expression and the prognosis of human gastric cancer. Our findings demonstrate a mechanism of IL-1β-promoted tumor immune evasion, implicating the therapeutic potential of disrupting the link between IL-1β and tumor cells by inhibiting NNT acetylation.",0
"Lichen planus is an inflammatory dermatosis with mucosal variants, including oral lichen planus (OLP). OLP has relapsing chronic courses and may significantly impact quality of life. Following IRB approval, we analyzed the efficacy of metronidazole as a treatment for OLP by retrospective chart review of patients seen at our institution over 10 years with an OLP diagnosis. Thirty patients with OLP were treated with metronidazole 500 mg twice daily. Most patients (n=18, 60.0%) showed improvement with metronidazole, including 10 (33.3%) with complete resolution of symptoms. Our results are limited by the nature of a retrospective review study with a relatively small cohort treated with metronidazole. Given the efficacy, mild side effect profile and the less immunosuppressive nature of metronidazole compared to alternative systemic treatment options, metronidazole is a reasonable option to try in patients with symptomatic OLP who have failed topical treatment options.",1
"Thrombotic thrombocytopenic purpura (TTP) is rare and severe thrombotic microangiopathy characterized by thrombocytopenia, hemolytic anemia, and renal dysfunction. In contrast, essential thrombocythemia (ET) is a myeloproliferative disease associated with an abnormal increase in platelet numbers. Previous studies reported several cases of the development of ET in patients with TTP. However, the case of an ET patient complicated with TTP has not been previously reported. In this case study, we present a patient with TTP who was previously diagnosed with ET. Therefore, to the best of our knowledge, this is the first report of TTP in ET.",0
"Adenomyosis is a uterine condition in which endometrial glands and stroma are commonly pathologically observed in the myometrium. In this study, we sought to determine the effect of resveratrol on the progression of adenomyosis. Adenomyosis was induced in mice given tamoxifen neonatally. All mice were subjected to body weight measurement and hotplate testing every four weeks beginning four weeks after birth. All mice with adenomyosis were randomly separated into 3 groups at 16 weeks: untreated, low-dose resveratrol (25 mg/kg), and high-dose resveratrol (50 mg/kg). After 3 weeks of treatment, final hotplate test and body weight measurement were performed, and the uterine horn blood samples were collected. Adenomyosis in mice caused body weight loss and uterine weight gain, reduced hotplate latency, and progression of endometrial fibrosis. The underlying biological process could be coupled with the overexpression of many cells' proliferation and immune-regulation-related genes. Resveratrol treatment could slow the progression of adenomyosis by enhancing hotplate latency, lowering endometrial fibrosis, and restoring cell proliferation- and immune-regulation-associated gene expression levels in endometrium and plasma. However, resveratrol treatment also reduced the body weight and uterine weight. In conclusion, Resveratrol might be a potential compound for treating patients with adenomyosis.",0
"The sole t(8;22)(p11.2;q11.2)/BCR- FGFR1 chromosomal abnormality formerly known as aCML is an extremely rare disease entity with a history of rapid progression. Though patients resemble phenotypically chronic myeloid leukemia, the treatment of patients with sole BCR-FGFR1 rearrangement are still challenging for clinicians due to rapid progressive nature and unavailability of uniform treatment guidelines. In present case study, we describe a case of myeloid neoplasm with sole chromosomal abnormality of t(8;22)(p11.2;q11.2)/BCR-FGFR1 rearrangement which is successfully managed by Sorafenib with Azacitidine. Hence our case report suggests that combination of Sorafenib and Azacitidine treatment is effective in sole BCR-FGFR1 rearrangement, however this combination therapy should be studied in large clinical trials.",0
"Evidence-based recommendations for treatment of Lyme neuroborreliosis (LNB) should rely on the available literature. As new data emerges, close review and evaluation of the recent literature is needed to build evidence-based recommendations to inform clinical practice and management of LNB. We performed an update of a previous systematic review on treatment of LNB.",1
"Neuropathic pain is common and difficult to treat. The sodium channel blocker lacosamide is efficacious in animal models of pain, but its effect on neuropathic pain in humans is inconclusive.",1
"In this study, the effects of Sildenafil Citrate on the sperm quality during cryopreservation in the asthenozoospermic patients were investigated for the first time. Thirty semen samples were collected from asthenozoospermic patients and each sample was divided into 3 groups: Control (fresh), Freeze and Freeze + Sildenafil. In each groups the sperm parameters, DNA fragmentation, acrosome integrity, protamine deficiency, mitochondrial membrane potential, plasma membrane integrity, the expression of Bcl-2 and HSP70 genes, as well as the level of Tumor necrosis factor-alpha, Malondialdehyde and antioxidants (Catalase, Glutathione, and Superoxide dismutase) in sperm were assessed. Data were analyzed statistically using Repeated Measure Analysis. The level of Malondialdehyde and Tumor necrosis factor-alpha, morphological abnormalities, DNA fragmentation, protamine deficiency and the expression of Bcl-2 and HSP70 genes increased significantly in the Freeze group compared to the Control, while the level of sperm parameters and antioxidants, plasma membrane integrity, mitochondrial membrane potential and acrosomal integrity significantly decreased. In the Freeze + Sildenafil group, compared to the Freeze group, all the mentioned parameters were significantly reversed except for the acrosomal integrity (decreased even more) and the expression of Bcl-2 (increased even more) and HSP70 genes (with no change). Although adding Sildenafil to the freezing medium decreased the adverse effects of freezing on the sperm of asthenozoospermic patients and improved sperm quality, but it also caused premature acrosome reaction. Therefore, we suggest the consumption of Sildenafil along with another antioxidant, to benefit from the favorable effects of Sildenafil as well as to maintain the integrity of the sperm acrosome.",0
